temperature,relative humidity,wind speed,surface pressure
40.68000031,91,8.34,102.32
39.56000137,89.38,9.22,102.55
39.11000061,91.88,9.86,103.15
39.29000092,92.12,8.02,103.4
36.5,93.56,7.26,103.04
36.02999878,92.94,6.2,102.73
35.70999908,97.06,2.48,102.69
35.22000122,94.5,4.65,102.5
36.84000015,89.62,6.59,101.89
38.31000137,85.25,9.13,102.39
39.34000015,82.81,7.35,102.47
39.27000046,87.75,7.01,101.96
38.95000076,86.75,8.21,101.24
39.79000092,81.06,9.26,101.21
39.25,88.44,7.62,101.02
39.83000183,85.19,3.7,101.53
40.56999969,86.12,1.25,101.66
41.15999985,91.5,4.9,101.91
41.49000168,87,6.26,102.47
41.52999878,89.5,3.19,102.62
42.20000076,95.81,5.38,102.18
42.65000153,92.75,7.37,101.81
42.52999878,95.69,4.96,101.73
41.70999908,96.12,1.72,101.68
40.86999893,88.81,4.23,102.2
38.99000168,81.69,2.12,102.04
37.40000153,85.19,4.91,101.64
39.27999878,91.69,6.46,101.73
39.31000137,92.81,6.31,102.64
38.45999908,89.5,5.63,102.77
40.11999893,96.44,6.9,102.92
41.36999893,93.44,7.18,102.82
41.06000137,93.69,5.34,102.81
38.72999954,90.56,6.46,102.32
37.70999908,91.81,5.95,102.16
36.24000168,91.5,4.5,101.57
37.11000061,90.38,7.41,100.84
35.93000031,91.56,6.88,100.56
36.52000046,94.62,4.46,100.87
35.04000092,89.81,4.78,101.44
37.65999985,88.56,5.24,101.49
37.06999969,90.81,6.53,101.29
37.36000061,93.19,2.79,101.4
35.22999954,95.62,3.78,101.42
34.52000046,90.62,2.88,101.44
34.34000015,94.75,8.02,101.18
36.20999908,92.12,5.94,100.94
36.29999924,89.94,7.3,101.2
35.27000046,88.94,4.98,101.41
35.40999985,93.69,5.08,101.08
36.66999817,93.56,6.33,101.21
38.22999954,95,8.56,100.75
38.06000137,93.31,7.84,100.48
39.09999847,92.38,8.07,100.7
39.74000168,89.25,8.59,100.76
39.29000092,94.81,8.88,100.24
39.43000031,90.56,7.53,100.77
40.09999847,90.81,4.09,101.2
36.58000183,90.69,3.77,100.98
37.47000122,94.12,6.15,101.12
37.27999878,94.62,5.77,101.42
35.75999832,96.88,4.23,101.56
35.27000046,94.06,5.27,101.47
33.36000061,91.5,4.59,100.6
33.00999832,95.75,9.11,99.71
33.04999924,96.25,10.64,99.55
34.50999832,94.56,9.16,100.02
33.70999908,91.75,8.45,100.18
33.40999985,93.38,8.62,100.7
33.97000122,95,8.62,100.75
34.58000183,97.06,4.63,100.7
33.58000183,97.62,5.06,100.58
32.06999969,94.56,5.28,100.61
32.36999893,96.31,6.01,100.79
32.61000061,96.81,9.03,100.3
32.08000183,95.38,9.98,99.95
31.73999977,95.81,6.12,100.29
31.31999969,95.06,5.2,100.86
30.76000023,94.5,7.95,100.73
30.51000023,94.88,8.36,100.21
29.23999977,94.62,9.03,99.95
31.62000084,97.31,5.98,100.29
30.37000084,97.31,6.27,100.6
29.98999977,96.44,3.78,101.07
31.45000076,94.75,3.05,101.3
30.56999969,93.5,5.42,100.93
30.62000084,95.31,3.87,101.99
30.87000084,96.75,4.26,102.29
31.60000038,95.75,3.18,101.88
29.18000031,94.38,6.08,101.18
27.96999931,94.12,5.58,101.19
27.26000023,95.44,6.62,101.42
29.5,95.5,8.88,101.65
30.95000076,96.88,7.5,101.42
30.35000038,94.56,8.05,101.63
29.64999962,94.5,9.23,102.12
29.47999954,93.69,11.08,102.49
29.75,94.69,9.73,102.07
29.12999916,93.62,5.77,101.64
29.79999924,95.12,2.03,101.61
31.29999924,95.25,5.41,101.8
29.70999908,91.25,2.75,101.58
28.53000069,95.56,3.57,100.97
30.55999947,97.38,2.23,100.67
30.64999962,96.81,2.16,100.68
30.07999992,96.62,4.73,100.68
28.44000053,93.5,2.71,100.73
29.29000092,96.69,4.27,100.9
30.29999924,97.81,6.32,100.7
29.11000061,93.88,4.77,100.09
30.90999985,95.81,6.61,100.31
30.45999908,99.25,7.08,100.39
28.18000031,94.31,2.05,100.15
28.17000008,90.12,2.36,99.85
30.95000076,91.25,5.63,100.99
31.84000015,93,1.95,101.8
32.66999817,90.69,5.23,101.87
32.72000122,87.56,3.72,101.85
32.41999817,90.06,2.8,101.46
31.21999931,95.19,5.7,100.65
31.59000015,94.25,9.71,100.29
32.63000107,94.25,4.85,100.48
32.40999985,92,1.98,100.48
31.30999947,87.12,5.77,100.24
31.27000046,93.75,6.89,100.13
31.04999924,96.88,10.87,99.88
30.89999962,87.12,10.91,100.28
32.20000076,90.31,3.2,100.34
33.38999939,95.38,8.2,100.24
33.31000137,97.81,2.45,100.18
33.56000137,96.56,7.86,100.48
33.43999863,97.62,9.27,99.5
33.5,96.56,9.85,99.31
33.22999954,98.19,3.98,100.18
33.49000168,92.12,4.27,100.92
33.52000046,92.31,10.38,100.91
33.91999817,94.62,13.84,100.23
32.50999832,96.81,11.22,100.61
32.34999847,94.31,7.62,101.29
32.68999863,93.62,8.02,100.51
33.09999847,98,8.27,101.84
32.93000031,95.5,5.27,102.58
32.70000076,95,2.41,102.97
33.43999863,94.75,4.82,103
34.52999878,98.5,7.25,102.39
34.34999847,97.25,6.45,102.06
33.79999924,95.75,9.81,100.92
33.70999908,94.12,8.53,100.1
33.83000183,97.44,2.69,100.55
33.63999939,97.94,4.52,101.17
33.38000107,92.38,4.47,101.25
33.50999832,96.31,6.53,100.7
34.02000046,92.44,8.59,100.43
34.20000076,92.62,15.87,100.4
33.74000168,95.25,9.98,100.44
33.77999878,90.69,6.16,101.29
33.81000137,91.75,4.03,101.88
33.63000107,88.19,3.71,102.01
33.31000137,92.44,7.58,102.34
32.86000061,98.31,9.65,102.86
30.25,95.44,11.71,102.94
29.70999908,95,9.73,102.46
32.49000168,99.56,4.53,101.65
32.61000061,96.31,5.34,101.05
32.22000122,96.69,8.54,100.83
29.52000046,93.56,8.84,101.13
29.40999985,94.12,7.96,100.8
30.71999931,92.38,7.87,100.52
31.63999939,92.75,6.37,100.87
31.92000008,97.88,6.76,101.29
32.49000168,98.12,4.78,102.06
31.87999916,92.25,4.62,102.54
30.54999924,91.81,3.45,102.55
31.70999908,99.25,9.29,102.07
31.52000046,100,4.55,102.3
31.13999939,100,7.53,100.97
30.79999924,96.56,9.76,100.11
30.95000076,96.69,10.42,101.16
30.88999939,92.88,3.8,101.67
31.59000015,96.69,6.12,101.6
31.61000061,96.69,13.26,101.12
31.70000076,99.62,17.08,99.52
31.54999924,88,5.39,99.29
30.81999969,93.56,13.09,98.3
30.45999908,82.19,6.48,97.96
29.57999992,90.44,11.31,98.49
27.20999908,90.56,12.5,99.23
29.43000031,91.38,6.41,100.11
29.15999985,96.31,6.07,100.25
29.80999947,99.19,8.02,99.91
29.89999962,98.25,10.52,100.57
30.02000046,97.5,10.98,101.95
30.40999985,100,11.86,101.91
30.88999939,98.56,15.73,100.67
30.45999908,94.62,17.22,99.83
29.76000023,96.69,15.01,99.74
28.79999924,98.31,11.98,100.13
27.95000076,97.94,10.98,100.34
28.77000046,97.81,13.45,100.49
28.92000008,97.94,12.38,101.06
28.64999962,98.75,7.38,101.31
28.92000008,99.12,3.06,100.99
28.68000031,98.81,6.8,101.28
26.90999985,97.62,10.23,101.55
26.73999977,99.12,11.34,101.27
26.70000076,94.25,10.62,99.87
27.47999954,98.31,11.25,98.61
28.06999969,93.81,15.17,98.35
28.04000092,94.75,7.7,100.33
28.64999962,97.88,7.57,100.06
28.53000069,100,9.03,99.85
28.98999977,100,6.75,100.65
28.96999931,100,6.59,101.07
29.12999916,100,5.79,100.93
28.78000069,100,7.09,100.64
28.37999916,99.75,8.8,100.68
27.92000008,99.69,9.94,100.52
27.15999985,100,8.13,100.74
26.81999969,99.81,4.46,100.33
28.37999916,100,9.63,100.2
29.71999931,100,9.07,100.18
30.25,99.81,7.1,100.2
30.37999916,99.62,3.16,100.59
29.61000061,100,7.12,100.76
29.03000069,100,8.16,100.59
29.30999947,99.25,13.62,100.53
28.70000076,94.5,12.78,100.04
28.57999992,93.19,12.84,99.11
29.47999954,96.94,7.16,99.11
28.29000092,98.31,5.66,100.78
27.15999985,99.88,8.59,100.97
27.46999931,99.94,10.23,100.76
27.38999939,98.38,11.96,101.36
27.11000061,99.94,8.6,102.59
27.73999977,99.12,16.27,101.52
25.63999939,90.81,10.29,99.4
25.69000053,99.69,12.05,98.39
27.28000069,92.19,10.66,97.19
25.95999908,95.38,4.77,97.45
24.77000046,98.12,6.55,98.89
24.26000023,98.31,8.27,99.34
24.60000038,98.25,7.5,98.07
26.04999924,99.56,9.31,98.01
27.89999962,100,12.9,99.12
29.12000084,100,8.75,100.47
27.05999947,100,5.57,101.38
27.62000084,100,3.8,101.59
27.85000038,100,6.68,101.18
27.70999908,100,7.49,100.4
25.79000092,99.69,8.3,100.13
26.86000061,99.06,10.15,100.5
28.13999939,99.88,11.81,100.55
28.84000015,98.31,12.95,100.5
27.89999962,96.06,12.4,100.81
29.18000031,97.69,9.53,101.05
29.48999977,99,9.3,100.33
27.64999962,97.44,11.56,100.01
26.67000008,97.06,5.83,101.16
27.48999977,99.25,6.7,102.13
28.05999947,100,15.98,100.18
29.30999947,100,19.62,98.75
28.85000038,98.56,16.59,99.96
29.04000092,99.94,12.77,101.61
28.46999931,99.12,9.89,102.35
28.38999939,100,7.88,101.47
27.89999962,99.94,7.88,101.01
28.32999992,98.06,8.98,101.55
26.45999908,96.38,8.85,102.02
27.34000015,99.75,9.27,102.04
26.37000084,95.56,13.09,101.56
25.60000038,98.44,10.93,101.47
25.29999924,99.75,9.74,102.36
25.77000046,100,5.16,102.4
25.76000023,100,7.84,101.3
24.26000023,97.62,10.85,99.27
22.98999977,95.69,9.73,99.65
22.73999977,99.69,7.98,99.82
26.06999969,94.5,6.39,99.41
28.04000092,99.94,4.82,99.56
29.06999969,100,6.25,99.92
27.34000015,99.12,6.44,100.01
29.14999962,92.62,7.64,100.56
30.21999931,90.44,2.93,101.54
31.70000076,100,8.52,100.93
32.04999924,97.12,5.5,101.13
32.31999969,99.12,7.84,101.62
29.98999977,95.25,5.16,101.6
30.40999985,98.81,11.78,100.31
30.70999908,99.5,8.73,99.62
31.20999908,98.88,7.02,100.79
31.04000092,99.31,12.11,98.78
32.09999847,99.5,8.51,99.15
30.71999931,99.62,4.28,101.55
30.20000076,92.31,12.23,100.54
30.51000023,92.06,13.7,99.65
31.57999992,87,10.23,99.97
33.43000031,93.25,11.5,98.78
33.79999924,83.56,14.13,99.6
33.65000153,96.69,12.7,98.05
33.65999985,100,8.3,99.51
31.71999931,97.19,10.33,98.35
31.18000031,82,17.02,100.44
32.18999863,89.12,13.11,101.67
33.97999954,97.69,11.06,101.45
